tblCodeID,Code,Rel_tblCodeID,Rel_Code,Rel_Codedesc,Rel_tblCodeTypeID,Rel_CodeType,"tblCodeID	Code	Rel_tblCodeID	Rel_Code	Rel_Codedesc	Rel_tblCodeTypeID	Rel_CodeType",,,,,,
136691,sar-78,136784,27.7.c.1,Porcupine Bank - NEAFC Regulatory Area,358,ICES_Area                     ,"136691	sar-78	136784	27.7.c.1	Porcupine Bank - NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136691,sar-78,136785,27.7.c.2,Porcupine Bank Non-NEAFC Regulatory Area,358,ICES_Area                     ,"136691	sar-78	136785	27.7.c.2	Porcupine Bank Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136691,sar-78,136797,27.7.j.1,Southwest of Ireland - East - Parts of the NEAFC Regulatory,358,ICES_Area                     ,"136691	sar-78	136797	27.7.j.1	Southwest of Ireland - East - Parts of the NEAFC Regulatory	358	ICES_Area                     ",,,,,,
136691,sar-78,136798,27.7.j.2,Southwest of Ireland - East Non-NEAFC Regulatory Area,358,ICES_Area                     ,"136691	sar-78	136798	27.7.j.2	Southwest of Ireland - East Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136691,sar-78,136799,27.7.k.1,Southwest of Ireland - West - Part of the NEAFC Regulatory Area,358,ICES_Area                     ,"136691	sar-78	136799	27.7.k.1	Southwest of Ireland - West - Part of the NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136691,sar-78,136800,27.7.k.2,Southwest of Ireland - West - Part of the Non-NEAFC Area I,358,ICES_Area                     ,"136691	sar-78	136800	27.7.k.2	Southwest of Ireland - West - Part of the Non-NEAFC Area I	358	ICES_Area                     ",,,,,,
136691,sar-78,136783,27.7.b,West of Ireland ,358,ICES_Area                     ,"136691	sar-78	136783	27.7.b	West of Ireland 	358	ICES_Area                     ",,,,,,
136691,sar-78,136787,27.7.e,Western English Channel,358,ICES_Area                     ,"136691	sar-78	136787	27.7.e	Western English Channel	358	ICES_Area                     ",,,,,,
136692,sar-soth,136792,27.8.c,Bay of Biscay - South,358,ICES_Area                     ,"136692	sar-soth	136792	27.8.c	Bay of Biscay - South	358	ICES_Area                     ",,,,,,
136692,sar-soth,136771,27.9.a,Portugese Waters - East,358,ICES_Area                     ,"136692	sar-soth	136771	27.9.a	Portugese Waters - East	358	ICES_Area                     ",,,,,,
169258,sbr.27.10,136801,27.10.a.1,Azores Grounds - Parts of the NEAFC Regulatory Area,358,ICES_Area                     ,"169258	sbr.27.10	136801	27.10.a.1	Azores Grounds - Parts of the NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169258,sbr.27.10,136802,27.10.a.2,Azores Grounds Non-NEAFC Regulatory Area,358,ICES_Area                     ,"169258	sbr.27.10	136802	27.10.a.2	Azores Grounds Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
169258,sbr.27.10,136803,27.10.b,Northeast Atlantic South,358,ICES_Area                     ,"169258	sbr.27.10	136803	27.10.b	Northeast Atlantic South	358	ICES_Area                     ",,,,,,
