StockKeyLabel,ICES_Area
cyo-nea,27.3.d.24
czs-comb,27.3.d.24
dab-2232,27.3.d.24
dgs-nea,27.3.d.24
ele-nea,27.3.d.24
fle-2232,27.3.d.24
gag-nea,27.3.d.24
gfb-comb,27.3.d.24
gug-comb,27.3.d.24
guq-nea,27.3.d.24
her-3a22,27.3.d.24
lin-comb,27.3.d.24
mac-nea,27.3.d.24
mut-comb,27.3.d.24
ory-comb,27.3.d.24
ple-2432,27.3.d.24
por-nea,27.3.d.24
rng-comb,27.3.d.24
sal-2431,27.3.d.24
sbr-comb,27.3.d.24
sck-nea,27.3.d.24
sma-nea,27.3.d.24
sol-kask,27.3.d.24
spr-2232,27.3.d.24
trk-nea,27.3.d.24
trt-bal,27.3.d.24
tur-2232,27.3.d.24
whb-comb,27.3.d.24
whb-comb-alt,27.3.d.24
fle-2425,27.3.d.24
usk-comb,27.3.d.24
rja-nea,27.3.d.24
gur-comb,27.3.d.24
agn.27.nea,27.3.d.24
alf.27.nea,27.3.d.24
bll.27.22-32,27.3.d.24
bsk.27.nea,27.3.d.24
cod.27.22-24,27.3.d.24
cod.27.24-32,27.3.d.24
cyo.27.nea,27.3.d.24
dab.27.22-32,27.3.d.24
dgs.27.nea,27.3.d.24
fle.27.2425,27.3.d.24
gag.27.nea,27.3.d.24
gfb.27.nea,27.3.d.24
guq.27.nea,27.3.d.24
gur.27.3-8,27.3.d.24
her.27.20-24,27.3.d.24
mac.27.nea,27.3.d.24
ory.27.nea,27.3.d.24
ple.27.24-32,27.3.d.24
por.27.nea,27.3.d.24
rja.27.nea,27.3.d.24
sal.27.22-31,27.3.d.24
sck.27.nea,27.3.d.24
sol.27.20-24,27.3.d.24
spr.27.22-32,27.3.d.24
sdv.27.nea,27.3.d.24
trs.27.22-32,27.3.d.24
tur.27.22-32,27.3.d.24
whb.27.1-91214,27.3.d.24
her-2224,27.3.d.24
bwq.27.2425,27.3.d.24
bzq.27.2425,27.3.d.24
cod.27.1-2,27.1
cod.27.1-2.coastN,27.1
agn-nea,27.1.a
alf-comb,27.1.a
arg-comb,27.1.a
arg-oth,27.1.a
bli-comb,27.1.a
bli-oth,27.1.a
bsh-nea,27.1.a
bsf-comb,27.1.a
bsf-oth,27.1.a
bsk-nea,27.1.a
bss-comb,27.1.a
cap-bars,27.1.a
cod-arct,27.1.a
cod-coas,27.1.a
cyo-nea,27.1.a
czs-comb,27.1.a
dgs-nea,27.1.a
ele-nea,27.1.a
gag-nea,27.1.a
gfb-comb,27.1.a
ghl-arct,27.1.a
gug-comb,27.1.a
guq-nea,27.1.a
had-arct,27.1.a
her-noss,27.1.a
lin-arct,27.1.a
lin-comb,27.1.a
mac-nea,27.1.a
mut-comb,27.1.a
ory-comb,27.1.a
pan-barn,27.1.a
por-nea,27.1.a
rng-comb,27.1.a
rng-oth,27.1.a
sai-arct,27.1.a
sal-nea,27.1.a
sbr-comb,27.1.a
sck-nea,27.1.a
sma-nea,27.1.a
smn-arct,27.1.a
smr-arct,27.1.a
trk-nea,27.1.a
usk-arct,27.1.a
whb-comb,27.1.a
ang-arct,27.1.a
whb-comb-alt,27.1.a
her-noss-alt,27.1.a
usk-comb,27.1.a
rja-nea,27.1.a
bsf-nea,27.1.a
qsc-nea,27.1.a
scx-nea,27.1.a
arg-123a4,27.1.a
tsu-nea,27.1.a
agn.27.nea,27.1.a
alf.27.nea,27.1.a
anf.27.1-2,27.1.a
aru.27.123a4,27.1.a
bli.27.nea,27.1.a
bsf.27.nea,27.1.a
bsk.27.nea,27.1.a
cap.27.1-2,27.1.a
cod.27.1-2,27.1.a
cod.27.1-2coast,27.1.a
cyo.27.nea,27.1.a
dgs.27.nea,27.1.a
gag.27.nea,27.1.a
gfb.27.nea,27.1.a
ghl.27.1-2,27.1.a
guq.27.nea,27.1.a
had.27.1-2,27.1.a
her.27.1-24a514a,27.1.a
lin.27.1-2,27.1.a
mac.27.nea,27.1.a
ory.27.nea,27.1.a
pra.27.1-2,27.1.a
por.27.nea,27.1.a
rja.27.nea,27.1.a
rng.27.1245a8914ab,27.1.a
pok.27.1-2,27.1.a
sck.27.nea,27.1.a
reb.27.1-2,27.1.a
reg.27.1-2,27.1.a
sdv.27.nea,27.1.a
tsu.27.nea,27.1.a
usk.27.1-2,27.1.a
whb.27.1-91214,27.1.a
omz.27.1-2,27.1.a
seh.27.125a14,27.1.a
seh.27.1,27.1.a
agn-nea,27.1.b
alf-comb,27.1.b
arg-comb,27.1.b
arg-oth,27.1.b
bli-comb,27.1.b
bli-oth,27.1.b
bsh-nea,27.1.b
bsf-comb,27.1.b
bsf-oth,27.1.b
bsk-nea,27.1.b
bss-comb,27.1.b
cap-bars,27.1.b
cod-arct,27.1.b
cod-coas,27.1.b
cyo-nea,27.1.b
czs-comb,27.1.b
dgs-nea,27.1.b
ele-nea,27.1.b
gag-nea,27.1.b
gfb-comb,27.1.b
ghl-arct,27.1.b
gug-comb,27.1.b
guq-nea,27.1.b
had-arct,27.1.b
her-noss,27.1.b
lin-arct,27.1.b
lin-comb,27.1.b
mac-nea,27.1.b
mut-comb,27.1.b
ory-comb,27.1.b
pan-barn,27.1.b
por-nea,27.1.b
rng-comb,27.1.b
rng-oth,27.1.b
sai-arct,27.1.b
sal-nea,27.1.b
sbr-comb,27.1.b
sck-nea,27.1.b
sma-nea,27.1.b
smn-arct,27.1.b
smr-arct,27.1.b
trk-nea,27.1.b
usk-arct,27.1.b
whb-comb,27.1.b
ang-arct,27.1.b
whb-comb-alt,27.1.b
her-noss-alt,27.1.b
usk-comb,27.1.b
rja-nea,27.1.b
