StockKeyLabel,AssessmentYear,Ecoregion,AdviceCategory,AssessmentKey,lineNumber,lineDescription,fishingPressure,stockSize,stockSizeStatus,fishingPressureStatus,year,status,statusicon,type
ane.27.9aW,2023,Bay of Biscay and the Iberian Coast,PA,18230,4,Qualitative evaluation,-,-,Increasing,Increasing,2021,9,http://sg.ices.dk/download/icons/9.png,Stock Size
ane.27.9aW,2023,Bay of Biscay and the Iberian Coast,PA,18230,4,Qualitative evaluation,-,-,Increasing,Increasing,2022,9,http://sg.ices.dk/download/icons/9.png,Stock Size
ane.27.9aW,2023,Bay of Biscay and the Iberian Coast,PA,18230,4,Qualitative evaluation,-,-,Increasing,Increasing,2023,7,http://sg.ices.dk/download/icons/7.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Unknown,2020,6,http://sg.ices.dk/download/icons/6.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Unknown,2021,6,http://sg.ices.dk/download/icons/6.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Unknown,2022,6,http://sg.ices.dk/download/icons/6.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Unknown,2020,6,http://sg.ices.dk/download/icons/6.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Unknown,2021,6,http://sg.ices.dk/download/icons/6.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Unknown,2022,6,http://sg.ices.dk/download/icons/6.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Unknown,2020,6,http://sg.ices.dk/download/icons/6.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Unknown,2021,6,http://sg.ices.dk/download/icons/6.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Unknown,2022,6,http://sg.ices.dk/download/icons/6.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Unknown,2020,6,http://sg.ices.dk/download/icons/6.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Unknown,2021,6,http://sg.ices.dk/download/icons/6.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,2,Precautionary approach,"F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>",Undefined,Unknown,2022,6,http://sg.ices.dk/download/icons/6.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,3,Management plan,F<sub>MGT</sub>,B<sub>MGT</sub>,Not applicable,Not applicable,2020,0,http://sg.ices.dk/download/icons/0.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,3,Management plan,F<sub>MGT</sub>,B<sub>MGT</sub>,Not applicable,Not applicable,2021,0,http://sg.ices.dk/download/icons/0.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,3,Management plan,F<sub>MGT</sub>,B<sub>MGT</sub>,Not applicable,Not applicable,2022,0,http://sg.ices.dk/download/icons/0.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,3,Management plan,F<sub>MGT</sub>,B<sub>MGT</sub>,Not applicable,Not applicable,2020,0,http://sg.ices.dk/download/icons/0.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,3,Management plan,F<sub>MGT</sub>,B<sub>MGT</sub>,Not applicable,Not applicable,2021,0,http://sg.ices.dk/download/icons/0.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,3,Management plan,F<sub>MGT</sub>,B<sub>MGT</sub>,Not applicable,Not applicable,2022,0,http://sg.ices.dk/download/icons/0.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,4,Qualitative evaluation,-,-,Increasing,Stable,2020,8,http://sg.ices.dk/download/icons/8.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,4,Qualitative evaluation,-,-,Increasing,Stable,2021,8,http://sg.ices.dk/download/icons/8.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,4,Qualitative evaluation,-,-,Increasing,Stable,2022,8,http://sg.ices.dk/download/icons/8.png,Fishing pressure
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,4,Qualitative evaluation,-,-,Increasing,Stable,2020,9,http://sg.ices.dk/download/icons/9.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,4,Qualitative evaluation,-,-,Increasing,Stable,2021,9,http://sg.ices.dk/download/icons/9.png,Stock Size
anf.27.3a46,2022,"Celtic Seas, Greater North Sea, Oceanic Northeast Atlantic",MSY,17604,4,Qualitative evaluation,-,-,Increasing,Stable,2022,7,http://sg.ices.dk/download/icons/7.png,Stock Size
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Below Fmsy proxy,2020,2,http://sg.ices.dk/download/icons/2.png,Fishing pressure
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Below Fmsy proxy,2021,2,http://sg.ices.dk/download/icons/2.png,Fishing pressure
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Below Fmsy proxy,2022,2,http://sg.ices.dk/download/icons/2.png,Fishing pressure
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Below Fmsy proxy,2020,6,http://sg.ices.dk/download/icons/6.png,Stock Size
aru.27.123a4,2023,"Arctic Ocean, Barents Sea, Greater North Sea, Norwegian Sea",MSY,18198,1,Maximum sustainable yield,F<sub>MSY</sub>,MSY B<sub>trigger</sub>,Undefined,Below Fmsy proxy,2021,6,http://sg.ices.dk/download/icons/6.png,Stock Size
